income,year,access,pcnt
lower-middle,2020,unimproved,4.76
lower-middle,2020,surface,2.31
lower-middle,2021,safe,63.17
lower-middle,2021,basic,26.04
lower-middle,2021,limited,4.24
lower-middle,2021,unimproved,4.35
lower-middle,2021,surface,2.2
lower-middle,2022,safe,63.8
lower-middle,2022,basic,25.83
lower-middle,2022,limited,4.24
lower-middle,2022,unimproved,4.03
lower-middle,2022,surface,2.1
upper-middle,2000,safe,69.02
upper-middle,2000,basic,14.29
upper-middle,2000,limited,0.71
upper-middle,2000,unimproved,13.39
upper-middle,2000,surface,2.58
upper-middle,2001,safe,69.26
upper-middle,2001,basic,14.45
upper-middle,2001,limited,0.7
upper-middle,2001,unimproved,13.06
upper-middle,2001,surface,2.52
upper-middle,2002,safe,70.21
upper-middle,2002,basic,14.36
upper-middle,2002,limited,0.72
upper-middle,2002,unimproved,12.25
upper-middle,2002,surface,2.46
upper-middle,2003,safe,70.89
upper-middle,2003,basic,14.52
upper-middle,2003,limited,0.74
upper-middle,2003,unimproved,11.46
upper-middle,2003,surface,2.39
upper-middle,2004,safe,71.55
upper-middle,2004,basic,14.67
upper-middle,2004,limited,0.76
upper-middle,2004,unimproved,10.7
upper-middle,2004,surface,2.33
upper-middle,2005,safe,72.2
upper-middle,2005,basic,14.81
upper-middle,2005,limited,0.77
upper-middle,2005,unimproved,10.02
upper-middle,2005,surface,2.19
upper-middle,2006,safe,72.84
upper-middle,2006,basic,14.94
upper-middle,2006,limited,0.79
upper-middle,2006,unimproved,9.37
upper-middle,2006,surface,2.05
upper-middle,2007,safe,73.47
upper-middle,2007,basic,15.06
upper-middle,2007,limited,0.8
upper-middle,2007,unimproved,8.75
upper-middle,2007,surface,1.92
upper-middle,2008,safe,74.08
upper-middle,2008,basic,15.18
upper-middle,2008,limited,0.82
upper-middle,2008,unimproved,8.15
upper-middle,2008,surface,1.78
upper-middle,2009,safe,74.65
upper-middle,2009,basic,15.3
upper-middle,2009,limited,0.84
upper-middle,2009,unimproved,7.55
upper-middle,2009,surface,1.65
upper-middle,2010,safe,75.21
upper-middle,2010,basic,15.42
upper-middle,2010,limited,0.86
